Frame,Input,Lag,Px,Vx,Ax,
15220,........,0,0.00000000000,0.00000000000,0.00000000000,
15221,........,0,0.00000000000,0.00000000000,0.00000000000,
15222,........,0,40.00000000000,0.00000000000,0.00000000000,
15223,........,0,40.00000000000,0.00000000000,0.00000000000,
15224,......LR,0,40.06250000000,1.18750000000,1.18750000000,
15225,A......R,0,40.18750000000,2.37500000000,1.18750000000,
15226,.......R,0,40.37500000000,3.56250000000,1.18750000000,
15227,.......R,0,40.62500000000,4.75000000000,1.18750000000,
15228,.......R,0,40.93750000000,5.93750000000,1.18750000000,
15229,.......R,0,41.37500000000,7.12500000000,1.18750000000,
15230,.......R,0,41.87500000000,8.31250000000,1.18750000000,
15231,.......R,0,42.43750000000,9.50000000000,1.18750000000,
15232,.......R,0,43.06250000000,10.68750000000,1.18750000000,
15233,.......R,0,43.75000000000,11.87500000000,1.18750000000,
15234,.......R,0,44.56250000000,13.06250000000,1.18750000000,
15235,.......R,0,45.43750000000,14.25000000000,1.18750000000,
15236,.......R,0,46.37500000000,15.43750000000,1.18750000000,
15237,.......R,0,47.37500000000,16.62500000000,1.18750000000,
15238,.......R,0,48.43750000000,17.81250000000,1.18750000000,
15239,.......R,0,49.62500000000,19.00000000000,1.18750000000,
15240,.......R,0,50.87500000000,20.18750000000,1.18750000000,
15241,.......R,0,52.18750000000,21.37500000000,1.18750000000,
15242,.......R,0,53.56250000000,22.56250000000,1.18750000000,
15243,.......R,0,55.00000000000,23.75000000000,1.18750000000,
15244,.......R,0,56.50000000000,24.93750000000,1.18750000000,
15245,........,0,58.00000000000,24.93750000000,1.18750000000,
15246,........,0,59.50000000000,24.93750000000,1.18750000000,
15247,........,0,61.00000000000,24.93750000000,1.18750000000,
15248,........,0,62.50000000000,24.93750000000,1.18750000000,
15249,........,0,64.00000000000,24.93750000000,1.18750000000,
15250,........,0,65.50000000000,24.93750000000,1.18750000000,
15251,........,0,67.00000000000,24.93750000000,1.18750000000,
15252,........,0,68.50000000000,24.93750000000,1.18750000000,
15253,........,0,70.00000000000,24.93750000000,1.18750000000,
15254,.B.....R,0,71.62500000000,26.71875000000,1.78125000000,
15255,......L.,0,73.25000000000,26.12500000000,0.59375000000,
15256,A......R,0,74.93750000000,27.90625000000,1.78125000000,
15257,A......R,0,76.75000000000,29.68750000000,1.78125000000,
15258,A......R,0,78.68750000000,31.46875000000,1.78125000000,
15259,A......R,0,80.75000000000,33.25000000000,1.78125000000,
15260,A......R,0,82.93750000000,35.03125000000,1.78125000000,
15261,A......R,0,85.18750000000,36.81250000000,1.78125000000,
15262,A......R,0,87.56250000000,38.59375000000,1.78125000000,
15263,A......R,0,90.06250000000,40.37500000000,1.78125000000,
15264,A.......,0,92.56250000000,40.37500000000,1.78125000000,
15265,A.......,0,95.06250000000,40.37500000000,1.78125000000,
15266,A.......,0,97.56250000000,40.37500000000,1.78125000000,
15267,A.......,0,100.06250000000,40.37500000000,1.78125000000,
15268,A.......,0,102.56250000000,40.37500000000,1.78125000000,
15269,A.......,0,105.06250000000,40.37500000000,1.78125000000,
15270,A.......,0,107.56250000000,40.37500000000,1.78125000000,
15271,A.......,0,110.06250000000,40.37500000000,1.78125000000,
15272,A.......,0,112.56250000000,40.37500000000,1.78125000000,
15273,A.......,0,115.06250000000,40.37500000000,1.78125000000,
15274,A.......,0,117.56250000000,40.37500000000,1.78125000000,
15275,A.......,0,120.06250000000,40.37500000000,1.78125000000,
15276,A.......,0,122.56250000000,40.37500000000,1.78125000000,
15277,A.......,0,125.06250000000,40.37500000000,1.78125000000,
15278,A.......,0,127.56250000000,40.37500000000,1.78125000000,
15279,A.......,0,130.06250000000,40.37500000000,1.78125000000,
15280,A.......,0,132.56250000000,40.37500000000,1.78125000000,
15281,A.......,0,135.06250000000,40.37500000000,1.78125000000,
15282,A.......,0,137.56250000000,40.37500000000,1.78125000000,
15283,A.......,0,140.06250000000,40.37500000000,1.78125000000,
15284,A.......,0,142.56250000000,40.37500000000,1.78125000000,
15285,A.......,0,145.06250000000,40.37500000000,1.78125000000,
15286,........,0,147.56250000000,40.37500000000,1.78125000000,
15287,........,0,150.06250000000,40.37500000000,1.78125000000,
15288,........,0,152.56250000000,40.37500000000,1.78125000000,
15289,........,0,155.06250000000,40.37500000000,1.78125000000,
15290,........,0,157.56250000000,40.37500000000,1.78125000000,
15291,........,0,160.06250000000,40.37500000000,1.78125000000,
15292,........,0,162.56250000000,40.37500000000,1.78125000000,
15293,........,0,165.06250000000,40.37500000000,1.78125000000,
15294,........,0,167.56250000000,40.37500000000,1.78125000000,
15295,........,0,170.06250000000,40.37500000000,1.78125000000,
15296,........,0,172.56250000000,40.37500000000,1.78125000000,
15297,........,0,175.06250000000,40.37500000000,1.78125000000,
15298,........,0,177.56250000000,40.37500000000,1.78125000000,
15299,........,0,180.06250000000,40.37500000000,1.78125000000,
15300,........,0,182.56250000000,40.37500000000,1.78125000000,
15301,........,0,185.06250000000,40.37500000000,1.78125000000,
15302,........,0,187.56250000000,40.37500000000,1.78125000000,
15303,........,0,190.06250000000,40.37500000000,1.78125000000,
15304,........,0,192.56250000000,40.37500000000,1.78125000000,
15305,........,0,195.06250000000,40.37500000000,1.78125000000,
15306,........,0,197.56250000000,40.37500000000,1.78125000000,
15307,........,0,200.06250000000,40.37500000000,1.78125000000,
15308,........,0,202.56250000000,40.37500000000,1.78125000000,
15309,........,0,205.06250000000,40.37500000000,1.78125000000,
15310,........,0,207.56250000000,40.37500000000,1.78125000000,
15311,........,0,210.06250000000,40.37500000000,1.78125000000,
15312,........,0,212.56250000000,40.37500000000,1.78125000000,
15313,........,0,215.06250000000,40.37500000000,1.78125000000,
15314,........,0,217.56250000000,40.37500000000,1.78125000000,
15315,........,0,220.06250000000,40.37500000000,1.78125000000,
15316,........,0,222.56250000000,40.37500000000,1.78125000000,
15317,........,0,225.06250000000,40.37500000000,1.78125000000,
15318,........,0,227.56250000000,40.37500000000,1.78125000000,
15319,........,0,230.06250000000,40.37500000000,1.78125000000,
15320,........,0,232.56250000000,40.37500000000,1.78125000000,
15321,........,0,235.06250000000,40.37500000000,1.78125000000,
15322,........,0,237.56250000000,40.37500000000,1.78125000000,
15323,........,0,240.06250000000,40.37500000000,1.78125000000,
15324,A.......,0,242.56250000000,40.37500000000,1.78125000000,
15325,A.......,0,245.06250000000,40.37500000000,1.78125000000,
15326,A.......,0,247.56250000000,40.37500000000,1.78125000000,
15327,A.......,0,250.06250000000,40.37500000000,1.78125000000,
15328,A.......,0,252.56250000000,40.37500000000,1.78125000000,
15329,A.......,0,255.06250000000,40.37500000000,1.78125000000,
15330,A.......,0,257.56250000000,40.37500000000,1.78125000000,
15331,A.......,0,260.06250000000,40.37500000000,1.78125000000,
15332,A.......,0,262.56250000000,40.37500000000,1.78125000000,
15333,A.......,0,265.06250000000,40.37500000000,1.78125000000,
15334,A.......,0,267.56250000000,40.37500000000,1.78125000000,
15335,A.......,0,270.06250000000,40.37500000000,1.78125000000,
15336,A.......,0,272.56250000000,40.37500000000,1.78125000000,
15337,A.......,0,275.06250000000,40.37500000000,1.78125000000,
15338,A.......,0,277.56250000000,40.37500000000,1.78125000000,
15339,A.......,0,280.06250000000,40.37500000000,1.78125000000,
